time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2015-11-01T00:00:00.0000000Z,2015-12-01T00:00:00.0000000Z,2015-11-01T00:00:28.3170000Z,2015-11-30T23:59:03.0870000Z,310.900000000,502.000000000,294.000000000,376.710000000,885941.544624220,318571
2015-12-01T00:00:00.0000000Z,2016-01-01T00:00:00.0000000Z,2015-12-01T00:00:05.8730000Z,2015-12-31T23:58:23.3400000Z,376.700000000,467.800000000,348.640000000,430.890000000,418759.655829140,241944
2016-01-01T00:00:00.0000000Z,2016-02-01T00:00:00.0000000Z,2016-01-01T00:01:01.1500000Z,2016-01-31T23:59:10.4630000Z,430.890000000,465.000000000,352.000000000,368.490000000,289416.515888530,201329
2016-02-01T00:00:00.0000000Z,2016-03-01T00:00:00.0000000Z,2016-02-01T00:00:05.8030000Z,2016-02-29T23:59:51.9730000Z,368.490000000,447.990000000,365.000000000,435.230000000,216404.248759290,140013
2016-03-01T00:00:00.0000000Z,2016-04-01T00:00:00.0000000Z,2016-03-01T00:00:18.1670000Z,2016-03-31T23:59:55.3130000Z,436.750000000,437.500000000,382.000000000,414.660000000,156240.617373680,166381
2016-04-01T00:00:00.0000000Z,2016-05-01T00:00:00.0000000Z,2016-04-01T00:00:09.6330000Z,2016-04-30T23:59:11.0000000Z,414.660000000,470.020000000,412.000000000,448.370000000,121076.816767070,133194
2016-05-01T00:00:00.0000000Z,2016-06-01T00:00:00.0000000Z,2016-05-01T00:04:16.0000000Z,2016-05-31T23:59:34.0000000Z,448.430000000,548.500000000,435.000000000,531.840000000,137023.786440400,108946
2016-06-01T00:00:00.0000000Z,2016-07-01T00:00:00.0000000Z,2016-06-01T00:03:39.0000000Z,2016-06-30T23:59:57.0000000Z,532.370000000,778.850000000,1.500000000,667.950000000,285102.018322350,205265
2016-07-01T00:00:00.0000000Z,2016-08-01T00:00:00.0000000Z,2016-07-01T00:00:06.0000000Z,2016-07-31T23:58:22.0000000Z,666.330000000,704.990000000,605.500000000,623.830000000,118840.869507780,113009
2016-08-01T00:00:00.0000000Z,2016-09-01T00:00:00.0000000Z,2016-08-01T00:01:13.0000000Z,2016-08-31T23:58:52.0000000Z,622.500000000,630.000000000,465.280000000,570.750000000,147275.561568770,122597
2016-09-01T00:00:00.0000000Z,2016-10-01T00:00:00.0000000Z,2016-09-01T00:00:07.0000000Z,2016-09-30T23:59:59.0000000Z,570.750000000,628.990000000,566.860000000,608.230000000,91405.837836170,104280
2016-10-01T00:00:00.0000000Z,2016-11-01T00:00:00.0000000Z,2016-10-01T00:01:54.0000000Z,2016-10-31T23:57:43.0000000Z,608.230000000,717.990000000,604.990000000,697.010000000,100905.625167990,99970
2016-11-01T00:00:00.0000000Z,2016-12-01T00:00:00.0000000Z,2016-11-01T00:00:07.0000000Z,2016-11-30T23:56:50.0000000Z,697.040000000,755.070000000,670.320000000,742.060000000,154155.316185190,146412
2016-12-01T00:00:00.0000000Z,2017-01-01T00:00:00.0000000Z,2016-12-01T00:00:05.0000000Z,2016-12-31T23:59:07.0000000Z,742.060000000,980.740000000,740.180000000,966.300000000,172666.563280910,149703
2017-01-01T00:00:00.0000000Z,2017-02-01T00:00:00.0000000Z,2017-01-01T00:01:08.0000000Z,2017-01-31T23:59:56.0000000Z,966.340000000,1139.890000000,751.340000000,963.990000000,335094.112765670,267344
2017-02-01T00:00:00.0000000Z,2017-03-01T00:00:00.0000000Z,2017-02-01T00:00:02.0000000Z,2017-02-28T23:59:41.0000000Z,963.990000000,1220.000000000,913.730000000,1191.210000000,208157.870976059,181561
2017-03-01T00:00:00.0000000Z,2017-04-01T00:00:00.0000000Z,2017-03-01T00:00:17.0000000Z,2017-03-31T23:59:55.0000000Z,1191.160000000,1350.000000000,891.330000000,1070.310000000,321674.543001021,244877
2017-04-01T00:00:00.0000000Z,2017-05-01T00:00:00.0000000Z,2017-04-01T00:00:31.0000000Z,2017-04-30T23:59:22.0000000Z,1071.340000000,1356.000000000,1061.640000000,1350.210000000,162505.544426702,176821
2017-05-01T00:00:00.0000000Z,2017-06-01T00:00:00.0000000Z,2017-05-01T00:00:02.0000000Z,2017-05-31T23:59:13.0000000Z,1348.880000000,2760.100000000,1341.220000000,2298.010000000,464315.655888496,502747
2017-06-01T00:00:00.0000000Z,2017-07-01T00:00:00.0000000Z,2017-06-01T00:00:06.0000000Z,2017-06-30T23:59:59.0000000Z,2298.010000000,2980.000000000,2120.000000000,2465.490000000,447478.414652645,587035
2017-07-01T00:00:00.0000000Z,2017-08-01T00:00:00.0000000Z,2017-07-01T00:00:01.0000000Z,2017-07-31T23:59:56.0000000Z,2465.480000000,2938.000000000,1830.000000000,2855.810000000,442318.156479497,517275
2017-08-01T00:00:00.0000000Z,2017-09-01T00:00:00.0000000Z,2017-08-01T00:00:02.0000000Z,2017-08-31T23:59:56.0000000Z,2855.810000000,4765.210000000,2615.000000000,4734.260000000,375422.835455481,592131
2017-09-01T00:00:00.0000000Z,2017-10-01T00:00:00.0000000Z,2017-09-01T00:00:13.0000000Z,2017-09-30T23:59:58.0000000Z,4734.260000000,4979.900000000,2972.010000000,4326.090000000,517292.513229964,727521
2017-10-01T00:00:00.0000000Z,2017-11-01T00:00:00.0000000Z,2017-10-01T00:00:01.0000000Z,2017-10-31T23:59:59.0000000Z,4326.090000000,6449.780000000,4137.960000000,6434.210000000,372851.560551866,666131
2017-11-01T00:00:00.0000000Z,2017-12-01T00:00:00.0000000Z,2017-11-01T00:00:00.0000000Z,2017-11-30T23:59:55.0000000Z,6434.240000000,11395.000000000,5555.550000000,9947.670000000,485105.628557857,1139444
2017-12-01T00:00:00.0000000Z,2018-01-01T00:00:00.0000000Z,2017-12-01T00:00:00.0000000Z,2017-12-31T23:59:59.0000000Z,9935.000000000,19666.000000000,9370.110000000,13880.000000000,562081.984726947,2509351
2018-01-01T00:00:00.0000000Z,2018-02-01T00:00:00.0000000Z,2018-01-01T00:00:03.0000000Z,2018-01-31T23:59:59.0000000Z,13880.000000000,17234.990000000,9222.000000000,10149.000000000,462065.793926861,1877658
